epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1174.77,1.24672,0.68976,1.02978,0.81874,0.60053,0.73129,0.4027,1.22199,0.71334,0.99198,0.000422585,0.000422585,0.000422585
43,1749.9,1.26892,0.71201,1.04216,0.80626,0.59078,0.70685,0.38461,1.22937,0.7154,0.99971,0.0006009,0.0006009,0.0006009
44,2319.93,1.27082,0.71172,1.04653,0.80752,0.59114,0.74563,0.4013,1.2122,0.68238,0.99413,0.00056795,0.00056795,0.00056795
45,2887.42,1.25651,0.69716,1.03716,0.64365,0.68618,0.75132,0.42152,1.22053,0.69267,0.99487,0.000534934,0.000534934,0.000534934
46,3456.57,1.2378,0.6817,1.02955,0.71224,0.65709,0.70997,0.40548,1.20599,0.67569,0.98902,0.000501917,0.000501917,0.000501917
47,4025.04,1.23011,0.67194,1.02643,0.82435,0.61601,0.756,0.42083,1.18446,0.66613,0.98194,0.000468901,0.000468901,0.000468901
48,4594.2,1.21279,0.66032,1.02143,0.83183,0.62986,0.73274,0.41803,1.17538,0.65796,0.97673,0.000435884,0.000435884,0.000435884
49,5163.28,1.19873,0.64443,1.01449,0.74434,0.68021,0.74369,0.43901,1.1651,0.64469,0.97196,0.000402868,0.000402868,0.000402868
50,5732.06,1.19335,0.63898,1.01511,0.85885,0.63615,0.79471,0.44389,1.15747,0.60858,0.96841,0.000369851,0.000369851,0.000369851
51,6299.72,1.19952,0.60873,1.01872,0.86722,0.62914,0.77776,0.45612,1.14179,0.60935,0.96262,0.000336835,0.000336835,0.000336835
52,6867.49,1.17799,0.59251,1.00928,0.81506,0.73151,0.78971,0.46821,1.12496,0.58506,0.95803,0.000303818,0.000303818,0.000303818
53,7435.36,1.15892,0.57702,0.99898,0.84762,0.66769,0.78901,0.47564,1.1197,0.58171,0.95103,0.000270802,0.000270802,0.000270802
54,8004.05,1.14168,0.56594,0.9929,0.88033,0.64836,0.74053,0.45666,1.10465,0.57148,0.95015,0.000237785,0.000237785,0.000237785
55,8575.89,1.12272,0.55309,0.98886,0.83037,0.73854,0.79242,0.48824,1.0946,0.55633,0.94605,0.000204769,0.000204769,0.000204769
56,9147.54,1.10476,0.54225,0.98331,0.84416,0.73438,0.7936,0.48889,1.08675,0.55501,0.94226,0.000171752,0.000171752,0.000171752
57,9714.82,1.08585,0.53151,0.97707,0.84278,0.71824,0.77947,0.48227,1.07218,0.55135,0.93811,0.000138736,0.000138736,0.000138736
58,10281.9,1.06876,0.52126,0.96927,0.75883,0.7377,0.78426,0.48494,1.06741,0.53904,0.93641,0.00010572,0.00010572,0.00010572
59,10849.3,1.05194,0.51078,0.96474,0.74879,0.74221,0.76578,0.48232,1.05619,0.54377,0.93271,7.27E-05,7.27E-05,7.27E-05
60,11416.8,1.03814,0.50428,0.9591,0.83389,0.72646,0.78527,0.48967,1.05251,0.53413,0.93098,3.97E-05,3.97E-05,3.97E-05
